"1","Nick Gadarzi","300.000"
"1","Keith Baker","300.000"
"1","Austin Orgain","300.000"
"1","Austin Buschman","300.000"
"5","Clay Blackketter","299.476"
"6","Kahl Harmon","299.429"
"7","Andy Slade","299.390"
"8","Dale Rhoads","298.953"
"9","Jeff Guerry","298.901"
"10","Matthew Caruso","298.256"
"11","Nathan Toungate","297.289"
"12","lane shelley","296.782"
"13","Francis Colon","296.636"
"14","Ryan Beck","296.619"
"15","Keith Rudasill","296.039"
"16","Morgun King","295.099"
"17","Derrick  Warren","293.745"
"18","Ken Sanoski","292.508"
"19","Corson Piper","292.118"
"20","Chad Heckler","292.099"
"21","Patrick Youngs","291.628"
"22","Chris Kutalek","291.467"
"23","Levi Wilson","291.245"
"24","Kyle Mccormack","291.126"
"25","Ryan Adams","290.085"
"26","Derek Webster","288.080"
"27","Caleb Pulliam","287.925"
"28","Brandon Hembree","287.316"
"29","zach meyer","287.058"
"30","Cole Higginbotham","286.745"
"31","Ben Gossett","286.659"
"32","Lee Stephens","286.521"
"33","Lee Pettross","286.133"
"34","Johannes Bachmann","285.451"
"35","Zane Kuhn","284.845"
"36","Mark Vogel","284.347"
"37","Shayne Ward","283.971"
"38","Sam Gearing","283.953"
"39","Jimmy Moore","283.640"
"40","Andrew Makos","283.261"
"41","lucas zapf","283.071"
"42","Josef Sixt","282.981"
"43","Josh Longanacre","282.927"
"44","Rusty Ulmer","282.407"
"44","Ted Clark","282.407"
"46","Jake Millard","282.275"
"47","Josh Ulickey","281.207"
"48","Matt Sobotka","280.847"
"49","Trygve Sowa","280.837"
"50","Tate Streater","280.773"
"51","Rowdy Torevell","280.720"
"52","Allison Zane","280.460"
"53","Ben Fleenor","280.230"
"54","Josh Egyed","279.480"
"55","Chad Estes","279.442"
"56","Chris Opfer","279.253"
"57","Kate Estes","279.103"
"58","Dan Chattin","278.365"
"59","Nick Barnard","278.361"
"60","Nowell Greasley","278.168"
"61","Brad Wright 1","278.080"
"62","Lauryl Akenhead","277.522"
"63","Brady Allinson","277.336"
"64","David Hoff","277.004"
"65","BRADEN MANN","276.941"
"66","David Christman","276.907"
"67","Jake Vibbert","276.876"
"68","Mark Le","276.846"
"69","Seth Stevens","276.712"
"70","Drew Walter","276.619"
"71","Brian Henderson","276.564"
"72","Yanick Sab leblanc","276.542"
"73","Nathan Cushman","276.536"
"74","Matt Alwine","276.441"
"75","Jeremy  Sanders","276.265"
"76","Gage Caples","276.218"
"77","Shaun Berry","275.862"
"78","Mike Burdis","275.825"
"79","Hunter Zwiers","275.784"
"80","Ted Hoeger","275.612"
"81","Brian Lopina","275.608"
"82","Jacob Reister","275.472"
"83","Chris Simmons","275.454"
"84","cory kellogg-allen","275.389"
"85","Matt Aheimer","275.363"
"86","Richard Kutcher","275.354"
"87","Riley Jacques","274.839"
"88","Corey Voges","274.649"
"89","Nikolas Omland","274.541"
"90","MIKE BURNS","274.339"
"91","Eric Kuchan","274.216"
"92","Zack L","273.955"
"93","David Medrano","273.822"
"94","Nick Bazzone","273.756"
"95","Ken Shirey","273.448"
"96","Wes Ripley","273.341"
"97","Justin Domaguin","273.275"
"98","Cal Zant","273.188"
"99","Ben Graham","272.701"
"100","Trent Peterson","272.499"
"101","Payton Grimes","272.367"
"102","Kevin Rich","272.215"
"103","Spencer Munn","271.948"
"104","Robert Mahaffey","271.811"
"105","Jon Pynch","271.663"
"106","Clayton Porter","271.488"
"107","John Indellicati","271.471"
"108","Sheldon Nalos","271.322"
"109","David Ostrowske","271.253"
"110","Bill Allison","271.240"
"111","James Bechtel","270.949"
"112","Chris Valdes","270.879"
"113","Thomas McCool","270.863"
"114","Philip Guglielmo","270.756"
"115","Kendal Simpson","270.662"
"116","Ricks Munn","270.143"
"117","Mike Anderson","270.083"
"118","Joey Pohl","269.883"
"119","Travis Robb","269.718"
"120","Jon Walker","269.039"
"121","Nik Blomquist","269.033"
"122","Brian Neace","269.022"
"123","Christopher D Jones","268.976"
"124","Logan  Stroud","268.922"
"125","Moritz Mayr","268.394"
"126","Dwight Toth","268.060"
"127","Tony Gohr","267.287"
"128","Fred Mudd","267.003"
"129","Randell Hand","266.118"
"130","Jake Schur","265.867"
"131","Michael Lilly","265.690"
"132","Devin Brandt","264.927"
"133","Bradley Grisanti","264.559"
"134","Shaun Haymore","264.368"
"135","Trey Fleming","264.082"
"136","Jonathan L. Thornton","263.745"
"137","Miles Neville","263.647"
"138","Darrick Davidson","263.603"
"139","Dan Crank","263.492"
"140","Bryan Lewis","263.031"
"141","Matt Stiner","263.005"
"142","Jesse Shwen","262.976"
"143","Matt Huizenga","262.740"
"144","Patrick Johnson","262.686"
"145","Justin Eggers","262.367"
"146","Robert Brantley","262.311"
"147","Donald Traub","262.165"
"148","Thomas Crosson","262.030"
"149","Tripp McEachern","261.863"
"150","Dan Juergens","261.846"
"151","Michael Keenan","261.817"
"152","Coker Metcalf","261.692"
"153","Allen Ernst","261.375"
"154","Kurt Ives","261.336"
"155","Mike Truong","261.262"
"156","Ben Blevins","260.974"
"157","Chris Rounds","260.549"
"158","John 4 Galati","260.534"
"159","Adam Cravillion","260.493"
"160","Kent Thostenson","260.263"
"161","Travis Pomp","260.118"
"162","Tommy Tinsley","259.561"
"163","Richard Caples","259.487"
"164","Nick Gutierrez","259.428"
"165","Jerry Zwolen","259.206"
"166","Arron Sides","259.156"
"167","matt sowa","259.026"
"168","Thomas Cheney","259.004"
"169","Aaron Hipp","258.644"
"170","Seth McAnally","258.623"
"171","JP Noel","258.501"
"172","David Mackie","258.470"
"173","Matt McDole","258.464"
"174","Zach Yeager","258.418"
"175","Joe Thielen","258.332"
"176","Aaron Kincaid","258.251"
"177","Solomon Manansala","257.220"
"178","Brian Lambert","256.897"
"179","Trace Thacker","256.836"
"180","Brian Li","256.646"
"181","Jon Hedges","256.540"
"182","Reagan Stahmer","256.196"
"183","Greg Harris","255.551"
"184","JARRED HORSKY","255.359"
"185","Roderick Riley","255.155"
"186","John Galati","255.148"
"187","Obadiah Barnes","255.122"
"188","Ryan Smothers","255.102"
"189","Cody Haberstroh","255.089"
"190","Bryan Pinto","255.042"
"191","Don Lepard","254.913"
"192","Tony Andis","254.738"
"193","Cole Mitchell","254.499"
"194","Jonathan Berry","254.147"
"195","Bill Blackmore","253.682"
"196","Alex Holman","253.292"
"197","Dylan Bailey","253.130"
"198","John Kyle Truitt","253.076"
"199","Chip Harnage","253.018"
"200","Cameron Collins","252.877"
"201","LEWIS ECKER","252.857"
"202","Matthew Dehn","252.817"
"203","Daniel Goodman","252.699"
"204","Anthony Wychules","252.695"
"205","Brian Black","252.500"
"206","Thomas Murray","252.484"
"207","Andy Youngs","252.285"
"208","Billy Don Kenney","252.174"
"209","Justin Adamson","252.169"
"210","Jarrod Berry","252.156"
"211","GARRET PREECE","252.044"
"212","Kyle Ponce","251.825"
"213","Michael Look","251.801"
"214","Randy Derscheid","251.751"
"215","Steven Feldt","251.421"
"216","Bret Files","251.407"
"217","Matt Trotter","251.387"
"218","Todd Tuckwood","251.093"
"219","Jared Ackerman","250.742"
"220","Chance Norris","250.539"
"221","Steve Mann","250.400"
"222","Mitchell Fabry","250.332"
"223","Jacob Emerson","250.291"
"224","Andrew Gabbert","250.066"
"225","Jason Aulwes","249.935"
"226","Caleb Ash","249.449"
"227","Joseph Redner","249.354"
"228","Michael Cooper","249.166"
"229","Zachary  Medlin","249.016"
"230","Drew Turner","248.983"
"231","Doug Koenig","248.790"
"232","Mark McCensky","248.782"
"233","Laura Hand","248.441"
"234","Oran Lewis","247.942"
"235","Daniel Bergum","247.398"
"236","Tim Barney","247.319"
"237","JJ Hall","247.291"
"238","Christopher Putman","247.159"
"239","Daniel Farris","247.144"
"240","John Boyken","246.869"
"241","Dillion Lapoma","246.710"
"242","Allan Jaworski","246.685"
"243","Logan McGinnis","246.210"
"244","Cody Hullinger","246.037"
"245","Philippe Landry","245.779"
"246","Anthony Rocco","245.615"
"247","Jonathan Gurley","245.532"
"248","Grace Vaughn","245.224"
"249","SHANE HAUGER","244.944"
"250","Kenneth Mccarthy","244.422"
"251","Ashlyn Nalos","244.402"
"251","Chase Beckley","244.402"
"253","Chase Christensen","244.205"
"254","Joseph Hargrave","244.194"
"255","Ryan Mclean","244.048"
"256","Chris Garcia","243.983"
"257","Samuel Carlson","243.896"
"258","Mark Pease","243.870"
"259","Stephen Gaumond","243.803"
"260","Michael Olson","243.547"
"261","Matt Sprouse","243.471"
"262","Richard Nethery","243.310"
"263","Brandon Rudge","243.235"
"264","Kerry Brooks","242.865"
"265","Jason Waller","242.823"
"266","Mike Lombardi","242.547"
"267","steve eames","242.456"
"268","Drew Dixon","242.343"
"269","Trent Winegar","242.330"
"270","Ryan Banigan","242.302"
"271","Michael Bae","242.216"
"272","Tyler Jacobs","242.213"
"273","Justin Ham","241.511"
"274","Jon Pedzinski","240.700"
"275","Mark Chindavat","240.410"
"276","Iggy Pozo","239.703"
"277","Dustin Tawatao","239.398"
"278","Nathan Dykstra","239.317"
"279","Charles Waln","238.689"
"280","Beniamin Aitonean","238.606"
"281","Nicholas Keith","238.603"
"282","JOSEPH ROMANO","238.441"
"283","Randy Caster","238.074"
"284","Brian Meyer","238.040"
"285","Ken Wheeler","237.984"
"286","Coulter Mariott","237.839"
"287","Daniel Goodwin","237.547"
"288","Lee Ewing","237.416"
"289","Josh Botha","237.300"
"290","Keithen Drury","237.295"
"291","Noah Weyandt","237.284"
"292","Garth Olivier","237.263"
"293","Gregory Bell","236.530"
"294","Luke Albin","235.591"
"295","Brian Beattie","235.589"
"296","Benjamin Ermold","235.093"
"297","Todd Goossen","234.964"
"298","Zac Mecham","234.949"
"299","Chad Loe","234.841"
"300","Matthew Meartz","234.661"
"301","Eric Higgins","234.642"
"302","Ryan Jessop","234.390"
"303","CHAD CANTRELL","234.004"
"304","Rob Meyer","233.615"
"305","Ziggy Duhring","233.489"
"306","Ryan Kerr","233.423"
"307","Theodore Roberson","232.612"
"308","Bart Kalata","232.515"
"309","Scott Richards","232.069"
"310","Brady Lamm","231.907"
"311","Mike Reed","231.703"
"312","Brendan Meyer","231.636"
"313","abby malone","231.375"
"314","Kory Frederick","231.262"
"315","Aaron Muss","230.788"
"316","Ryan Leishman","230.461"
"317","Derrick Morgan","230.440"
"318","Ryan Gee","230.105"
"319","Brandon Caldwell","230.011"
"320","Dan Lévis","229.750"
"321","Leon Weatherby","229.261"
"322","Ken Bailey","228.585"
"323","Ben Stewart","228.211"
"324","Austin Watson","228.096"
"325","Kevin Arterburn","227.822"
"326","Trevor Langel","227.670"
"327","Dakota Wright","227.345"
"328","Keshawn Jackson","226.996"
"329","Raymond Mozes","226.956"
"330","Ashton Jones","226.846"
"331","RYAN HEY","226.826"
"332","Ben Alicea","226.689"
"333","Jeff Wankel","226.510"
"334","William Ormes","226.468"
"335","Ken Smith","226.432"
"336","Paul T Martin","225.976"
"337","Gabe Herald","225.918"
"338","Christopher Frank","225.818"
"339","Terry Conaway","225.697"
"340","Buck Wiles","225.623"
"341","Terry Gower","225.238"
"342","Tavis Ha","225.066"
"343","Andy Egyed","224.605"
"344","Erik Hansen","224.402"
"345","Gerrid Mellmann","223.933"
"346","Isaak Wise","223.722"
"347","Joshua Thrasher","223.719"
"348","Josh Gillispie","223.661"
"349","Casey Hughes","223.622"
"350","Morgan Keener","223.449"
"351","Guy DeMarco","223.285"
"352","Keith Glasscock","222.789"
"353","Nic Kytlica","222.647"
"354","Cody Rockwood","222.018"
"355","Grant Watson","221.901"
"356","Paul Bonargo","221.752"
